SubmissionID,ExerciseID,StudentID,StartDate,LastUpdateDate,NumberAutograderRuns,TimeOnTask,CodeHistoryLink,StudentCode
2843035,1949,70110,2020-09-11 13:12:26.108170+00:00,2020-09-16 12:13:07.167441+00:00,3.0,6.0,https://backend.academy.cs.cmu.edu/a/user/70110/files/3598794/1,
2921017,1949,67041,2020-09-15 22:02:04.783015+00:00,2020-09-16 06:26:44.161014+00:00,1.0,2.0,https://backend.academy.cs.cmu.edu/a/user/67041/files/3677396/1,
3164256,1949,67089,2020-09-29 17:25:49.903869+00:00,2020-09-30 01:00:22.761256+00:00,9.0,7.0,https://backend.academy.cs.cmu.edu/a/user/67089/files/3923705/1,
3187052,1949,69109,2020-09-30 17:18:23.075623+00:00,2020-10-14 19:33:34.718092+00:00,11.0,3.0,https://backend.academy.cs.cmu.edu/a/user/69109/files/3946777/1,
3129296,1949,69113,2020-09-28 09:22:20.330245+00:00,2020-09-29 16:33:11.728960+00:00,8.0,10.0,https://backend.academy.cs.cmu.edu/a/user/69113/files/3888385/1,
3076821,1949,69126,2020-09-24 08:05:25.439020+00:00,2020-09-24 08:52:58.056780+00:00,4.0,6.0,https://backend.academy.cs.cmu.edu/a/user/69126/files/3835200/1,
3473066,1949,70008,2020-10-19 16:44:29.490101+00:00,2020-10-21 17:03:25.645243+00:00,2.0,0.0,https://backend.academy.cs.cmu.edu/a/user/70008/files/4238622/1,
2990805,1949,70442,2020-09-18 18:08:38.414570+00:00,2020-10-05 17:52:52.325893+00:00,6.0,9.0,https://backend.academy.cs.cmu.edu/a/user/70442/files/3748283/1,
3304221,1949,70445,2020-10-07 16:30:30.773194+00:00,2020-10-12 15:09:51.711286+00:00,4.0,8.0,https://backend.academy.cs.cmu.edu/a/user/70445/files/4065845/1,
2930892,1949,72695,2020-09-16 14:15:52.740763+00:00,2020-09-17 16:09:29.413666+00:00,13.0,7.0,https://backend.academy.cs.cmu.edu/a/user/72695/files/3687505/1,
3341032,1949,72723,2020-10-09 13:11:21.602924+00:00,2020-10-15 23:22:40.853512+00:00,6.0,0.0,https://backend.academy.cs.cmu.edu/a/user/72723/files/4103390/1,
3245460,1949,72979,2020-10-05 00:37:09.854475+00:00,2020-10-09 19:31:38.834968+00:00,5.0,3.0,https://backend.academy.cs.cmu.edu/a/user/72979/files/4006220/1,
3522918,1949,73133,2020-10-21 18:44:09.113616+00:00,2020-10-27 18:25:47.578082+00:00,8.0,10.0,https://backend.academy.cs.cmu.edu/a/user/73133/files/4289578/1,
3129560,1949,72221,2020-09-28 11:42:06.422010+00:00,2020-09-28 19:31:21.211693+00:00,4.0,2.0,https://backend.academy.cs.cmu.edu/a/user/72221/files/3888650/1,
3077403,1949,72224,2020-09-24 11:52:09.152664+00:00,2020-09-29 15:58:48.875555+00:00,20.0,10.0,https://backend.academy.cs.cmu.edu/a/user/72224/files/3835788/1,
3212427,1949,72288,2020-10-01 17:54:11.752930+00:00,2020-10-09 12:07:44.725394+00:00,4.0,2.0,https://backend.academy.cs.cmu.edu/a/user/72288/files/3972699/1,
3301378,1949,72357,2020-10-07 15:08:08.358979+00:00,2020-10-12 17:52:50.469413+00:00,4.0,7.0,https://backend.academy.cs.cmu.edu/a/user/72357/files/4062975/1,
3597782,1949,72434,2020-10-27 11:26:29.622916+00:00,2020-10-29 01:42:15.702750+00:00,2.0,0.0,https://backend.academy.cs.cmu.edu/a/user/72434/files/4366020/1,
3291626,1949,72716,2020-10-07 00:09:50.128066+00:00,2020-10-09 14:36:18.843701+00:00,2.0,2.0,https://backend.academy.cs.cmu.edu/a/user/72716/files/4053042/1,
3268329,1949,72726,2020-10-06 03:05:17.516072+00:00,2020-10-06 20:22:03.918731+00:00,24.0,12.0,https://backend.academy.cs.cmu.edu/a/user/72726/files/4029365/1,
2993981,1949,72783,2020-09-18 20:30:07.910431+00:00,2020-09-18 21:23:45.570581+00:00,6.0,9.0,https://backend.academy.cs.cmu.edu/a/user/72783/files/3751475/1,
3239373,1949,73004,2020-10-02 21:17:25.339035+00:00,2020-10-07 16:09:06.503106+00:00,49.0,4.0,https://backend.academy.cs.cmu.edu/a/user/73004/files/4000041/1,
3426121,1949,73053,2020-10-15 15:24:53.906515+00:00,2020-10-16 20:08:59.852763+00:00,5.0,3.0,https://backend.academy.cs.cmu.edu/a/user/73053/files/4190560/1,
3156845,1949,74000,2020-09-29 14:36:12.732254+00:00,2020-10-08 12:55:42.867622+00:00,32.0,7.0,https://backend.academy.cs.cmu.edu/a/user/74000/files/3916196/1,
3438345,1949,80956,2020-10-16 01:16:15.776920+00:00,2020-10-16 01:44:51.822929+00:00,1.0,2.0,https://backend.academy.cs.cmu.edu/a/user/80956/files/4203119/1,
3531621,1949,90107,2020-10-22 13:10:42.934599+00:00,2020-10-27 18:12:16.458165+00:00,12.0,9.0,https://backend.academy.cs.cmu.edu/a/user/90107/files/4298362/1,
3380485,1949,78405,2020-10-13 14:03:14.510457+00:00,2020-10-13 14:47:38.386477+00:00,3.0,2.0,https://backend.academy.cs.cmu.edu/a/user/78405/files/4143989/1,
